k,accuracy,fscore,precision,recall
0,1.0,1.0,1.0,1.0
1,0.5667304015296367,0.41001022374488105,0.32119481883389606,0.5667304015296367
2,0.7169143665958952,0.5990308232567354,0.514787512733587,0.7169143665958952
3,0.9772277227722772,0.9669411151641479,0.9568688118811881,0.9772277227722772
4,0.26772793053545585,0.11865695227639439,0.23320600410594688,0.26772793053545585
5,0.6666666666666666,0.5839876537892817,0.742048066875653,0.6666666666666666
6,1.0,1.0,1.0,1.0
7,1.0,0.6683752526044915,0.681157887775753,0.7421810125857046
